test_id,gas,oil,water,ch1_p1,ch1_p2,ch1_p3,ch1_p4,ch1_p5,ch1_p6,ch1_p7,ch1_p8,ch1_p9,ch1_p10,ch1_p11,ch1_p12,ch1_p13,ch1_p14,ch1_p15,ch1_p16,ch1_p17,ch2_p1,ch2_p2,ch2_p3,ch2_p4,ch2_p5,ch2_p6,ch2_p7,ch2_p8,ch2_p9,ch2_p10,ch2_p11,ch2_p12,ch2_p13,ch2_p14,ch2_p15,ch2_p16,ch2_p17,ch4_p1,ch4_p2,ch4_p3,ch4_p4,ch4_p5,ch4_p6,ch4_p7,ch4_p8,ch4_p9,ch4_p10,ch4_p11,ch4_p12,ch4_p13,ch4_p14,ch4_p15,ch4_p16,ch4_p17
OW_08,0,6.606750701,3.748385471,451.3981908,902.8558404,0.033032681,2279.849569,3419.450633,5699.693292,1354.13181,4273.893777,7979.39091,10259.36931,12658.08698,5292.588623,14822.94318,17099.29459,19379.93694,15173.81632,13434.5796,451.3981908,902.8558404,0.039639217,4655.530249,7758.745815,3419.450633,1354.13181,10864.26046,17070.8006,5699.693292,13966.98384,4208.865641,16332.35832,15035.9346,13213.9279,2279.918938,15988.68961,451.3981908,0.009909804,902.8558404,19236.37691,17372.38897,18304.69675,7599.511777,9151.895828,7254.280623,8740.36478,11011.59943,16389.00606,13647.82538,10598.02696,2267.934681,16770.02152,3542.936704
OW_09,0,5.581573503,4.656268656,450.2387437,900.4907005,0.079278434,2280.222838,3420.197172,1350.745961,4274.874847,15174.97907,5700.747034,7978.327258,10260.25458,12537.44832,5297.153739,14820.25762,19380.56786,17101.31288,13438.08107,450.2387437,900.4907005,0.01651634,4656.798704,1350.745961,7761.576716,3420.197172,13969.76188,10865.40999,16075.36076,17075.39875,13300.62547,5699.564464,4211.521469,14863.53704,10260.27771,2279.423448,450.2387437,0.006606536,900.4907005,17319.19975,19297.3189,18308.34686,7602.005744,7181.020743,9153.805117,15203.98176,11143.76979,4936.820043,13308.2296,6067.168653,15625.38628,10212.68752,18846.66064
OW_10,0,13.91952751,11.80348538,449.8786875,899.7606782,0.013213072,2281.557359,3422.582132,5704.443391,4273.606392,7985.105564,10267.46562,12549.49204,14829.05092,15175.33582,5292.562196,17110.017,19394.26652,1349.639366,6845.497893,449.8786875,899.7606782,0.06936863,4657.376776,7762.577606,3422.582132,10867.78835,13971.88919,17077.16599,5704.443391,1598.880853,14877.81707,4215.86857,16075.04034,1245.510446,12545.74944,10267.46562,449.8786875,0.01651634,899.7606782,17386.39153,1877.012723,19216.94378,18303.00878,7599.128598,1421.769528,2765.700846,9151.403641,10982.81144,15090.19078,3351.7964,8739.641364,4654.129663,2323.720273
OW_11,0,21.94618453,18.05294206,449.8126221,899.621941,7.03265776,2281.34595,3423.966201,4274.23071,1245.378315,5703.287247,5298.643513,7991.239733,10274.7262,12554.2025,15175.40188,14837.09108,19401.45773,2681.216462,17121.39015,449.8126221,899.621941,0.033032681,1756.526019,4658.803788,1245.378315,3348.536074,7764.163175,10869.90904,3739.633106,13975.42369,17081.34793,2723.035836,14875.47835,4210.689045,5707.855667,16073.90732,449.8126221,1191.280694,48.74963045,2760.108413,1612.609235,19203.84633,1978.59152,4574.332616,3348.536074,18844.02794,3824.854119,4207.821809,17341.76107,18302.57605,15917.23662,4907.60594,2319.535032
OW_12,0,32.90832404,27.32555742,449.786196,899.5988181,18.52472744,4760.739337,2281.157663,5188.429973,3422.301354,2675.336644,3069.053168,4294.383949,5703.075838,7983.480356,12546.80648,10266.03861,17109.25064,1602.283219,14827.78577,449.786196,899.5492691,1797.49315,0.023122877,4762.533012,3573.230976,2942.749409,4431.829631,7364.933497,7762.402533,2507.263061,13972.22282,4059.277146,6785.649282,1321.720144,10866.99887,5226.387827,449.786196,19370.81992,4896.625877,2759.685595,4555.216604,117.4311805,1610.300251,1204.037915,19040.17269,7312.107634,6274.05894,6856.745521,14989.19336,19759.18515,1976.454305,15860.65824,10949.37907
OW_13,0.00771114,23.83320618,36.16398482,448.0321606,896.1138703,6.907133573,2462.483959,3419.440724,6250.08382,8750.116027,5037.615965,3825.14811,11250.15154,13750.18374,1325.115903,3027.656612,5698.368681,18750.25146,16250.21595,7978.119152,448.0552835,896.1138703,113.1765712,2462.483959,3652.063469,2957.551353,4653.858795,1793.393794,1240.116209,4075.985076,7756.195692,10858.5392,16108.82286,15011.20964,5037.615965,6250.08382,7304.159971,448.0552835,110.8874065,19439.76243,4793.276528,2462.483959,19971.60841,896.1138703,4392.319241,19082.8344,3571.539703,15962.10161,1587.263259,7310.697138,16427.15881,10860.31635,5134.183705,1974.469041
OW_14,0,15.95255897,24.04624474,448.0850129,896.1667225,7.042567564,2462.483959,3414.228167,11250.15154,5037.615965,6250.08382,3825.14811,1325.115903,8750.116027,16250.21925,13750.18374,18750.25146,5690.364862,7966.438796,10243.04786,448.0850129,896.1667225,0.013213072,2462.483959,1240.169061,4649.987365,3781.181612,3414.561797,5037.615965,1778.017081,7750.375334,6250.08382,11250.15154,10850.97802,13950.70533,17051.94885,2970.549713,448.0850129,896.1667225,111.7363464,2462.483959,4539.856407,1325.115903,3674.951814,5037.615965,1972.440834,6250.08382,11250.15154,8750.116027,19600.23519,17044.71469,2989.992749,7611.555492,18323.81607
OW_15,0,9.968235348,15.0062999,448.1907175,896.3649186,0.046245753,2462.483959,5037.615965,6250.08382,11250.15154,3674.951814,8750.116027,1325.115903,13750.18374,16250.21925,18750.25146,5690.024626,10240.91725,7965.494062,12517.90949,448.1907175,896.3649186,0.042942485,2462.483959,4649.267253,1240.406897,7747.811998,3412.989441,5037.615965,3825.14811,10847.00088,13946.74802,6250.08382,17046.06903,11250.15154,8750.116027,5690.024626,448.1907175,0.01651634,2462.483959,896.3649186,3825.14811,5037.615965,1325.115903,6250.08382,11250.15154,1979.701418,8750.116027,19597.58267,17050.52844,16250.21925,13750.18374,18750.25146,18323.32718
OW_16,0,4.088548408,6.274941682,448.3889136,896.7315814,0.013213072,2462.483959,8750.119331,5037.615965,11250.15154,6250.08382,3825.14811,13750.18705,1325.1126,3412.044706,16250.21925,18750.25476,5685.57182,9962.587186,7961.371583,448.369094,896.7315814,0.013213072,2462.483959,4648.054953,3825.14811,5037.615965,1325.1126,12793.74229,7746.391593,10845.42852,8750.119331,13943.51742,3410.769645,6250.08382,17043.44623,11250.15154,448.3889136,0.013213072,2462.483959,4962.519469,3825.14811,1174.919607,8750.119331,6250.08382,11250.15154,1996.762797,5660.420737,2844.239348,19640.47891,13750.18705,18750.25476,16971.67282,16250.21925
OW_17,0,2.078719089,8.333875807,445.9874377,892.0409407,0.013213072,2462.483959,8750.116027,3400.347834,1325.1126,11250.14823,6250.08382,5037.615965,16250.21595,5667.047093,3825.144807,18750.24816,13750.18374,7934.231932,10201.41347,445.9874377,892.0409407,0.059458826,2462.483959,4646.063083,1325.1126,3400.347834,7743.920748,8750.116027,10841.77181,5037.615965,13938.53279,17036.29796,3825.144807,5667.311354,6250.08382,11250.14823,445.9874377,75.09649672,2462.483959,892.0409407,1325.1126,3674.951814,8750.116027,4962.519469,6250.08382,11250.14823,19758.33621,18334.4625,16908.65968,16250.21595,9962.583882,18750.24816,7618.181848
